variable,coefficient,std_err,t,p_value,ci_lower,ci_upper
Intercept,5.0745312007639807e-05,2.6149493551865973e-06,19.40584887695415,8.652576600380002e-84,4.562006566928744e-05,5.5870558345992175e-05
C(sector_fe)[T.Biotech/Healthcare],-1.1965342713237582e-05,3.472237747148662e-06,-3.4460032937155014,0.0005690931893000444,-1.8770856465985828e-05,-5.159828960489335e-06
C(sector_fe)[T.Consumer Software],-7.078968550253051e-06,4.629924645273303e-06,-1.5289597763713025,0.12627644417342282,-1.615352454039806e-05,1.9955874398919586e-06
C(sector_fe)[T.Data/Analytics],-1.9333085230857988e-05,8.788459502426495e-06,-2.1998264002377343,0.027820675790243374,-3.6558283032578045e-05,-2.107887429137935e-06
C(sector_fe)[T.Enterprise Software],-2.8986683736477182e-05,5.3100296116424185e-06,-5.458855384332114,4.799417287700715e-08,-3.9394231312736424e-05,-1.857913616021794e-05
C(sector_fe)[T.FinTech],8.902444504422232e-06,5.425030941597286e-06,1.640994235841371,0.10080062844926946,-1.730503286218897e-06,1.953539229506336e-05
C(sector_fe)[T.Hardware/Robotics],-8.293082764178173e-06,4.4711547335287346e-06,-1.85479663720631,0.06362715862901748,-1.7056453030134918e-05,4.7028750177857304e-07
C(sector_fe)[T.Other],6.742681341635669e-06,2.5670523886077297e-06,2.6266239721319593,0.008624500177915969,1.711312061395204e-06,1.1774050621876134e-05
C(founding_cohort)[T.2010-14],-3.51817859254881e-05,2.276132786669997e-06,-15.456824896828351,7.441495883626132e-54,-3.9642958837822275e-05,-3.072061301315393e-05
C(founding_cohort)[T.2015-18],-3.395577923544681e-05,2.354912911328603e-06,-14.419123132791148,4.206989684252683e-47,-3.8571359553278387e-05,-2.9340198917615232e-05
C(founding_cohort)[T.2019-20],-3.215316914407715e-05,3.5574236985059326e-06,-9.038329945792238,1.6083598839519377e-19,-3.912564558939416e-05,-2.518069269876014e-05
C(founding_cohort)[T.2021],3.483292420814786e-06,8.798297393171061e-06,0.3959052831651723,0.6921754450912587,-1.3761187442110653e-05,2.0727772283740227e-05
z_vagueness,-5.965874953307506e-06,8.921199877389793e-07,-6.687301075304492,2.2808615337929358e-11,-7.71441157083748e-06,-4.2173383357775314e-06
z_employees_log,3.937780402345578e-05,9.23571347330524e-07,42.63645048893381,0.0,3.756762339539725e-05,4.1187984651514306e-05
