company_id,Y_primary,Y_MA_upper,Y_MA_lower,at_risk
268292-80,0.0,0.0,0.0,True
464252-59,0.0,0.0,0.0,True
340939-18,1.0,1.0,1.0,True
267948-37,0.0,0.0,0.0,True
149589-10,0.0,0.0,0.0,True
339855-67,0.0,0.0,0.0,True
279949-15,0.0,0.0,0.0,True
433462-87,0.0,0.0,0.0,True
458710-39,0.0,0.0,0.0,True
442183-06,0.0,0.0,0.0,True
452732-05,0.0,0.0,0.0,True
226886-41,1.0,1.0,1.0,True
265014-19,1.0,1.0,1.0,True
399640-87,0.0,0.0,0.0,True
231991-93,0.0,0.0,0.0,True
156489-76,1.0,1.0,1.0,True
227681-92,0.0,0.0,0.0,True
438223-51,0.0,0.0,0.0,True
221838-49,0.0,0.0,0.0,True
315993-88,0.0,0.0,0.0,True
435420-46,0.0,0.0,0.0,True
433506-43,0.0,0.0,0.0,True
343217-08,1.0,1.0,1.0,True
470986-30,0.0,0.0,0.0,True
461823-04,0.0,0.0,0.0,True
472167-10,0.0,0.0,0.0,True
483383-26,0.0,0.0,0.0,True
459966-88,1.0,1.0,1.0,True
182545-21,0.0,0.0,0.0,True
266254-66,0.0,0.0,0.0,True
459120-70,0.0,0.0,0.0,True
437456-62,0.0,0.0,0.0,True
442304-47,0.0,0.0,0.0,True
437716-81,0.0,0.0,0.0,True
169411-51,,1.0,0.0,True
229037-41,0.0,0.0,0.0,True
61377-76,0.0,0.0,0.0,True
185195-08,0.0,0.0,0.0,True
458503-66,0.0,0.0,0.0,True
459231-04,0.0,0.0,0.0,True
168278-05,0.0,0.0,0.0,True
268227-55,0.0,0.0,0.0,True
230858-92,0.0,0.0,0.0,True
327457-09,0.0,0.0,0.0,True
436797-28,1.0,1.0,1.0,True
185148-46,0.0,0.0,0.0,True
481715-56,0.0,0.0,0.0,True
366559-57,0.0,0.0,0.0,True
61629-58,0.0,0.0,0.0,True
264600-28,0.0,0.0,0.0,True
186037-84,0.0,0.0,0.0,True
232165-90,0.0,0.0,0.0,True
433194-58,0.0,0.0,0.0,True
462223-90,0.0,0.0,0.0,True
437700-16,0.0,0.0,0.0,True
170578-99,1.0,1.0,1.0,True
399482-92,0.0,0.0,0.0,True
161458-12,1.0,1.0,1.0,True
483714-64,0.0,0.0,0.0,True
186973-39,0.0,0.0,0.0,True
431666-56,0.0,0.0,0.0,True
431209-90,0.0,0.0,0.0,True
268801-48,0.0,0.0,0.0,True
435926-80,0.0,0.0,0.0,True
169180-30,1.0,1.0,1.0,True
264871-81,0.0,0.0,0.0,True
442814-41,0.0,0.0,0.0,True
92215-45,1.0,1.0,1.0,True
438330-97,0.0,0.0,0.0,True
221445-10,0.0,0.0,0.0,True
433362-70,0.0,0.0,0.0,True
343122-22,0.0,0.0,0.0,True
267803-56,0.0,0.0,0.0,True
56598-40,1.0,1.0,1.0,True
184007-89,1.0,1.0,1.0,True
234348-76,0.0,0.0,0.0,True
464115-97,0.0,0.0,0.0,True
127734-13,1.0,1.0,1.0,True
178426-18,0.0,0.0,0.0,True
266337-01,0.0,0.0,0.0,True
438032-71,0.0,0.0,0.0,True
434479-51,0.0,0.0,0.0,True
222719-68,0.0,0.0,0.0,True
234123-13,0.0,0.0,0.0,True
56964-97,0.0,0.0,0.0,True
267680-44,0.0,0.0,0.0,True
58438-18,0.0,0.0,0.0,True
439848-01,0.0,0.0,0.0,True
314607-43,0.0,0.0,0.0,True
463279-60,0.0,0.0,0.0,True
438662-62,0.0,0.0,0.0,True
463434-85,0.0,0.0,0.0,True
469504-72,0.0,0.0,0.0,True
439831-18,0.0,0.0,0.0,True
463006-90,0.0,0.0,0.0,True
265541-77,0.0,0.0,0.0,True
467993-26,0.0,0.0,0.0,True
462907-00,0.0,0.0,0.0,True
469582-57,0.0,0.0,0.0,True
279420-22,0.0,0.0,0.0,True
460024-03,0.0,0.0,0.0,True
268451-56,0.0,0.0,0.0,True
438065-74,0.0,0.0,0.0,True
279464-59,0.0,0.0,0.0,True
462267-10,0.0,0.0,0.0,True
399565-45,0.0,0.0,0.0,True
152056-18,0.0,0.0,0.0,True
434841-31,0.0,0.0,0.0,True
434642-32,0.0,0.0,0.0,True
118207-00,1.0,1.0,1.0,True
186717-70,0.0,0.0,0.0,True
227479-78,0.0,0.0,0.0,True
265441-60,0.0,0.0,0.0,True
267093-46,0.0,0.0,0.0,True
452728-81,0.0,0.0,0.0,True
111512-80,0.0,0.0,0.0,True
432802-72,0.0,0.0,0.0,True
453428-56,0.0,0.0,0.0,True
264870-91,0.0,0.0,0.0,True
277678-18,1.0,1.0,1.0,True
442327-15,0.0,0.0,0.0,True
58301-47,0.0,0.0,0.0,True
229773-52,,1.0,0.0,True
343088-74,,1.0,0.0,True
180603-01,0.0,0.0,0.0,True
462914-47,0.0,0.0,0.0,True
432792-19,0.0,0.0,0.0,True
160231-87,1.0,1.0,1.0,True
57294-01,0.0,0.0,0.0,True
438981-04,0.0,0.0,0.0,True
277786-18,0.0,0.0,0.0,True
294483-25,0.0,0.0,0.0,True
483297-67,0.0,0.0,0.0,True
433505-44,0.0,0.0,0.0,True
171915-31,1.0,1.0,1.0,True
438715-00,0.0,0.0,0.0,True
266658-22,0.0,0.0,0.0,True
155471-59,1.0,1.0,1.0,True
156094-12,0.0,0.0,0.0,True
166935-52,1.0,1.0,1.0,True
375609-97,0.0,0.0,0.0,True
442539-10,0.0,0.0,0.0,True
56917-45,0.0,0.0,0.0,True
179148-61,0.0,0.0,0.0,True
267448-06,,1.0,0.0,True
86565-88,0.0,0.0,0.0,True
462657-16,0.0,0.0,0.0,True
416685-79,0.0,0.0,0.0,True
149234-50,0.0,0.0,0.0,True
226588-51,0.0,0.0,0.0,True
466920-46,0.0,0.0,0.0,True
399663-19,0.0,0.0,0.0,True
98786-35,1.0,1.0,1.0,True
327454-48,,1.0,0.0,True
55515-61,0.0,0.0,0.0,True
434402-83,0.0,0.0,0.0,True
442631-26,0.0,0.0,0.0,True
437405-95,0.0,0.0,0.0,True
437094-73,0.0,0.0,0.0,True
464370-31,0.0,0.0,0.0,True
124590-07,,1.0,0.0,True
465435-55,0.0,0.0,0.0,True
227108-17,0.0,0.0,0.0,True
434697-13,1.0,1.0,1.0,True
229876-39,0.0,0.0,0.0,True
416704-96,0.0,0.0,0.0,True
469724-23,0.0,0.0,0.0,True
469753-48,0.0,0.0,0.0,True
157662-64,,1.0,0.0,True
304307-47,0.0,0.0,0.0,True
481939-12,0.0,0.0,0.0,True
436166-29,0.0,0.0,0.0,True
268002-19,0.0,0.0,0.0,True
462574-99,0.0,0.0,0.0,True
471347-74,0.0,0.0,0.0,True
459203-05,0.0,0.0,0.0,True
472182-67,0.0,0.0,0.0,True
185240-62,0.0,0.0,0.0,True
434318-95,0.0,0.0,0.0,True
466185-79,1.0,1.0,1.0,True
459110-53,0.0,0.0,0.0,True
467236-63,0.0,0.0,0.0,True
471338-74,1.0,1.0,1.0,True
481714-84,0.0,0.0,0.0,True
58472-83,0.0,0.0,0.0,True
416706-76,0.0,0.0,0.0,True
462425-77,0.0,0.0,0.0,True
57800-71,0.0,0.0,0.0,True
471040-39,1.0,1.0,1.0,True
228727-90,1.0,1.0,1.0,True
161635-15,1.0,1.0,1.0,True
170579-35,0.0,0.0,0.0,True
264343-69,0.0,0.0,0.0,True
466158-52,0.0,0.0,0.0,True
482449-69,0.0,0.0,0.0,True
471040-66,,1.0,0.0,True
431579-17,0.0,0.0,0.0,True
55364-23,,1.0,0.0,True
471154-78,0.0,0.0,0.0,True
55132-48,0.0,0.0,0.0,True
343454-95,0.0,0.0,0.0,True
458318-44,0.0,0.0,0.0,True
437816-62,0.0,0.0,0.0,True
101158-39,0.0,0.0,0.0,True
300235-42,0.0,0.0,0.0,True
434515-51,0.0,0.0,0.0,True
471951-01,0.0,0.0,0.0,True
452729-08,0.0,0.0,0.0,True
82078-93,0.0,0.0,0.0,True
459089-56,0.0,0.0,0.0,True
171226-27,1.0,1.0,1.0,True
160471-00,0.0,0.0,0.0,True
436215-79,0.0,0.0,0.0,True
466158-07,1.0,1.0,1.0,True
90304-30,0.0,0.0,0.0,True
231851-08,0.0,0.0,0.0,True
57202-39,0.0,0.0,0.0,True
436384-00,0.0,0.0,0.0,True
169410-52,0.0,0.0,0.0,True
482155-30,1.0,1.0,1.0,True
471192-40,0.0,0.0,0.0,True
265168-27,0.0,0.0,0.0,True
439152-13,1.0,1.0,1.0,True
435988-45,0.0,0.0,0.0,True
434633-68,0.0,0.0,0.0,True
148866-40,1.0,1.0,1.0,True
342108-19,1.0,1.0,1.0,True
435896-20,0.0,0.0,0.0,True
224477-02,0.0,0.0,0.0,True
436469-05,0.0,0.0,0.0,True
483504-85,0.0,0.0,0.0,True
96849-82,1.0,1.0,1.0,True
439575-04,0.0,0.0,0.0,True
464270-14,0.0,0.0,0.0,True
184800-34,1.0,1.0,1.0,True
481532-77,0.0,0.0,0.0,True
266100-85,1.0,1.0,1.0,True
433763-65,0.0,0.0,0.0,True
154469-71,,1.0,0.0,True
434787-13,1.0,1.0,1.0,True
173618-02,0.0,0.0,0.0,True
233800-93,0.0,0.0,0.0,True
463359-79,0.0,0.0,0.0,True
231787-18,0.0,0.0,0.0,True
452689-39,0.0,0.0,0.0,True
86780-71,0.0,0.0,0.0,True
459234-82,0.0,0.0,0.0,True
186628-78,1.0,1.0,1.0,True
466179-13,0.0,0.0,0.0,True
267399-82,0.0,0.0,0.0,True
343455-31,0.0,0.0,0.0,True
277839-73,,1.0,0.0,True
