variable,coefficient,std_err,z,p_value,ci_lower,ci_upper
Intercept,-1.1467937428819628,0.059688888978148835,-19.212851210914412,2.8895191908617555e-82,-1.2637818155563443,-1.0298056702075813
C(sector_fe)[T.Biotech/Healthcare],0.40880390431840957,0.049547621148274386,8.25072717608456,1.5743359250456982e-16,0.31169235134815665,0.5059154572886625
C(sector_fe)[T.Consumer Software],-0.36710612317326863,0.08609120343914553,-4.2641536940851505,2.006612935040055e-05,-0.5358417812997047,-0.19837046504683256
C(sector_fe)[T.Data/Analytics],0.06461903946551693,0.11988710854524348,0.5389990654510676,0.5898874994010839,-0.17035537549380442,0.2995934544248383
C(sector_fe)[T.Enterprise Software],0.025710575799489252,0.08329816115920186,0.3086571833242568,0.7575823171962904,-0.1375508200509596,0.18897197164993806
C(sector_fe)[T.FinTech],0.03341952463247399,0.0766198356060891,0.43617327508097764,0.6627110163528382,-0.11675259365684032,0.1835916429217883
C(sector_fe)[T.Hardware/Robotics],0.3685353481068119,0.060497913922384884,6.091703402858157,1.1171552246620372e-09,0.2499616156791332,0.48710908053449054
C(sector_fe)[T.Other],0.0779406973666192,0.038658162574886246,2.0161511095008,0.04378417700462833,0.0021720910113479514,0.15370930372189046
C(founding_cohort)[T.2010-14],-0.2433803170724661,0.05827956480349595,-4.176083295973183,2.9657125962732013e-05,-0.3576061651219863,-0.1291544690229459
C(founding_cohort)[T.2015-18],-0.37598911133560303,0.05368619564228716,-7.003459769077893,2.4971764218771497e-12,-0.48121212126145707,-0.270766101409749
C(founding_cohort)[T.2019-20],-2.612377065301715,0.09044788989643161,-28.882675630056678,1.9706585268410396e-183,-2.7896516719763653,-2.435102458627065
C(founding_cohort)[T.2021],-2.4251448393302186,0.22834973453575558,-10.620309431323133,2.3976501875211458e-26,-2.872702094899582,-1.9775875837608554
z_vagueness,0.004174013297962478,0.01269967439407202,0.32867089095692353,0.7424044586872945,-0.020716891129804214,0.02906491772572917
ic_within,0.30401457877883403,0.06336824963397415,4.797585234480583,1.6058988054963257e-06,0.17981509173290122,0.42821406582476684
z_vagueness:ic_within,-0.03094330575096958,0.05265859459596825,-0.5876211848870483,0.5567865881409795,-0.13415225463556285,0.0722656431336237
z_employees_log,0.8799530372336055,0.020001241353356902,43.99492119952439,0.0,0.8407513245349328,0.9191547499322782
