CompanyID,baseline,2.0yr,2.5yr,3.0yr,3.9yr
100005-85,Early Stage VC,Early Stage,Other,Other,Other
100006-93,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100007-56,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100023-85,Early Stage VC,Other,Other,Other,Other
100032-49,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100086-85,Early Stage VC,Early Stage,Early Stage,Later Stage,Other
100097-74,Early Stage VC,Later Stage,Later Stage,Other,Other
100100-89,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100109-98,Early Stage VC,Other,Other,Other,Other
100137-34,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100154-89,Early Stage VC,Other,Other,Other,Other
100154-98,Early Stage VC,Later Stage,Later Stage,Other,Other
100171-18,Early Stage VC,Other,Other,Other,Other
100209-61,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100210-42,Early Stage VC,Other,Other,Other,Other
100212-04,Early Stage VC,Other,Other,Other,Other
100218-07,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100219-96,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100230-76,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100244-98,Early Stage VC,Other,Other,Other,Other
100255-51,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100265-41,Early Stage VC,Other,Other,Other,Other
100267-48,Early Stage VC,Other,Other,Other,Other
100274-50,Early Stage VC,Other,Other,Other,Other
100276-39,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
100277-83,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100283-86,Early Stage VC,Other,Other,Other,Other
100284-31,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100286-38,Early Stage VC,Other,Other,Other,Other
100311-67,Early Stage VC,Other,Other,Other,Other
100325-26,Early Stage VC,Other,Other,Other,Other
100337-86,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
100342-72,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100347-04,Early Stage VC,Early Stage,Other,Other,Other
100353-34,Early Stage VC,Other,Other,Other,Other
100359-55,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100368-01,Early Stage VC,Early Stage,Early Stage,Other,Other
100384-93,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
100395-55,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100410-58,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100423-09,Early Stage VC,Other,Other,Other,Other
100438-66,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100447-12,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
100448-38,Early Stage VC,Early Stage,Other,Other,Other
100455-76,Early Stage VC,Other,Other,Other,Other
100458-28,Early Stage VC,Other,Other,Other,Other
100460-80,Early Stage VC,Early Stage,Early Stage,Other,Other
100475-74,Early Stage VC,Other,Other,Other,Other
100495-45,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100537-21,Early Stage VC,Other,Other,Other,Other
100537-39,Early Stage VC,Other,Other,Other,Other
100550-17,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100569-16,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100571-32,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100575-64,Early Stage VC,Early Stage,Later Stage,Later Stage,Later Stage
100583-02,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100599-94,Early Stage VC,Early Stage,Other,Other,Other
100601-29,Early Stage VC,Early Stage,Early Stage,Other,Other
100602-46,Early Stage VC,Other,Other,Other,Other
100606-15,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100606-33,Early Stage VC,Other,Other,Other,Other
100606-87,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100612-72,Early Stage VC,Other,Other,Other,Other
100619-38,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
100623-79,Early Stage VC,Other,Other,Other,Other
100631-89,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100643-68,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100650-79,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100652-32,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100654-93,Early Stage VC,Early Stage,Other,Other,Other
100656-19,Early Stage VC,Other,Other,Other,Other
100658-26,Early Stage VC,Other,Other,Other,Other
100658-89,Early Stage VC,Other,Other,Other,Other
100664-74,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100666-81,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100667-98,Early Stage VC,Early Stage,Early Stage,Other,Other
100668-79,Early Stage VC,Other,Other,Other,Other
100675-63,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100676-35,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100678-33,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100684-00,Early Stage VC,Other,Other,Other,Other
100685-44,Early Stage VC,Early Stage,Early Stage,Other,Other
100686-16,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
100694-08,Early Stage VC,Other,Other,Other,Other
100700-83,Early Stage VC,Early Stage,Early Stage,Early Stage,Other
100706-59,Early Stage VC,Other,Other,Other,Other
100711-72,Early Stage VC,Other,Other,Other,Other
100810-00,Early Stage VC,Other,Other,Other,Other
100814-41,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
100820-53,Early Stage VC,Other,Other,Other,Other
100821-16,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100861-21,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100878-58,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100885-06,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100901-08,Early Stage VC,Later Stage,Other,Other,Other
100927-81,Early Stage VC,Other,Other,Other,Other
100934-56,Early Stage VC,Later Stage,Other,Other,Other
100960-66,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100963-54,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
100965-88,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
100971-91,Early Stage VC,Early Stage,Early Stage,Other,Other
100980-73,Early Stage VC,Other,Other,Other,Other
101000-17,Early Stage VC,Other,Other,Other,Other
101005-39,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
101006-74,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101037-97,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101046-61,Early Stage VC,Later Stage,Other,Other,Other
101051-47,Early Stage VC,Other,Other,Other,Other
101060-65,Early Stage VC,Other,Other,Other,Other
101066-86,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101070-64,Early Stage VC,Later Stage,Later Stage,Other,Later Stage
101102-05,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
101125-72,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101132-47,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
101151-28,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
101153-89,Early Stage VC,Later Stage,Later Stage,Later Stage,Other
101158-39,Early Stage VC,Early Stage,Early Stage,Other,Other
101170-54,Early Stage VC,Early Stage,Early Stage,Early Stage,Early Stage
101171-62,Early Stage VC,Other,Other,Other,Other
101171-71,Early Stage VC,Other,Other,Other,Other
101173-06,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101179-63,Early Stage VC,Other,Later Stage,Later Stage,Later Stage
101195-11,Early Stage VC,Early Stage,Early Stage,Other,Other
101201-05,Early Stage VC,Other,Other,Other,Other
101205-55,Early Stage VC,Other,Other,Other,Other
101206-45,Early Stage VC,Later Stage,Early Stage,Later Stage,Other
101216-62,Early Stage VC,Other,Other,Other,Other
101234-35,Early Stage VC,Other,Other,Other,Other
101244-88,Early Stage VC,Other,Other,Other,Other
101282-23,Early Stage VC,Later Stage,Later Stage,Later Stage,Later Stage
101285-47,Early Stage VC,Early Stage,Early Stage,Other,Other
101295-28,Early Stage VC,Early Stage,Early Stage,Later Stage,Later Stage
