variable,coefficient,std_err,stat,p_value,ci_lower,ci_upper
Intercept,6.163137662903124e-06,1.9131034770106686e-06,3.221539104896392,0.0012792504820223177,2.4130555741889165e-06,9.913219751617332e-06
C(founding_cohort)[T.2010-14],4.3300927148775406e-07,1.9307623730469718e-06,0.22426854673183533,0.8225530748518246,-3.351687938953002e-06,4.21770648192851e-06
C(founding_cohort)[T.2015-18],2.1648682042176384e-06,1.8223810336588443e-06,1.1879338975950453,0.23488855453761592,-1.4073789613225896e-06,5.7371153697578665e-06
C(founding_cohort)[T.2019-20],3.7056526423867467e-06,1.9352212767074697e-06,1.9148469929451368,0.05554141509841492,-8.77849498229363e-08,7.49909023459643e-06
C(founding_cohort)[T.2021],1.367729644087523e-05,2.708264092424542e-06,5.05020779883796,4.4936283960287376e-07,8.36853359215637e-06,1.8986059289594092e-05
C(sector_fe)[T.Biotech/Healthcare],4.548806492179837e-06,1.27077925371695e-06,3.579541040566142,0.00034588011757394474,2.0578139372345367e-06,7.039799047125137e-06
C(sector_fe)[T.Consumer Software],-3.3942763093576027e-06,1.897427691263474e-06,-1.7888830889241398,0.07366485513808126,-7.1136305863964425e-06,3.2507796768123713e-07
C(sector_fe)[T.Data/Analytics],-2.515558132279041e-06,3.2287452616697014e-06,-0.7791132246147392,0.4359320371378719,-8.84457269960811e-06,3.8134564350500288e-06
C(sector_fe)[T.Enterprise Software],-2.3914601743508906e-06,2.031767189601106e-06,-1.1770345473589436,0.23921061326162363,-6.374147905422231e-06,1.5912275567204495e-06
C(sector_fe)[T.FinTech],8.811378551556621e-07,2.1587560870027347e-06,0.4081692510148535,0.6831584351325832,-3.3504746180083183e-06,5.112750328319643e-06
C(sector_fe)[T.Hardware/Robotics],-2.018054059809778e-06,1.7036303855044931e-06,-1.1845609687292442,0.23622011498524836,-5.357525171143738e-06,1.321417051524182e-06
C(sector_fe)[T.Other],-9.850635289511222e-07,9.78550215589329e-07,-1.0066560849489676,0.314125195747415,-2.903226179579406e-06,9.330991216771614e-07
z_vagueness,-5.556755361430769e-07,4.4089428569100324e-07,-1.260337351100343,0.20757802456254956,-1.419920352826903e-06,3.085692805407494e-07
founder_serial,0.0,0.0,,,0.0,0.0
z_vagueness:founder_serial,0.0,0.0,,,0.0,0.0
z_employees_log,3.7219773097318956e-06,5.029708533479733e-07,7.39998607266592,1.4751700682545787e-13,2.7360494647661858e-06,4.7079051546976054e-06
