company_id,company_name,round,series_b_dummy,vagueness,vagueness_category,high_integration_cost,integration_cost_label,funding_success,deal_size,deal_date,series_a_amount,log_series_a_amount,employees,year_founded,total_raised,investors,post_valuation
C001,NeuralStack AI,Series A,0,80,Vague,0,Low-i (API/SaaS),1,5000000,2021-03-15,5000000,15.424948670398354,25,2020,5000000,"Sequoia Capital, Andreessen Horowitz",20000000
C001,NeuralStack AI,Series B,1,80,Vague,0,Low-i (API/SaaS),1,12000000,2023-05-20,5000000,15.424948670398354,25,2020,5000000,"Sequoia Capital, Tiger Global",45000000
C002,ChipForge Labs,Series A,0,20,Precise,1,High-i (Hardware),1,8000000,2021-06-10,8000000,15.894952224644102,45,2019,8000000,"NEA, Lightspeed Ventures",35000000
C002,ChipForge Labs,Series B,1,20,Precise,1,High-i (Hardware),0,0,2023-08-15,8000000,15.894952224644102,45,2019,8000000,,35000000
C003,DataMind Solutions,Series A,0,80,Vague,0,Low-i (API/SaaS),1,3500000,2021-02-28,3500000,15.068273812173887,18,2021,3500000,"500 Startups, Y Combinator",15000000
C003,DataMind Solutions,Series B,1,80,Vague,0,Low-i (API/SaaS),0,0,,3500000,15.068273812173887,18,2021,3500000,None,15000000
C004,RoboVision Systems,Series A,0,30,Precise,1,High-i (Hardware),1,12000000,2021-07-20,12000000,16.300417291085605,60,2020,12000000,"Kleiner Perkins, GV",50000000
C004,RoboVision Systems,Series B,1,30,Precise,1,High-i (Hardware),1,25000000,2024-01-15,12000000,16.300417291085605,60,2020,12000000,"Kleiner Perkins, Benchmark",95000000
C005,CloudML Pro,Series A,0,70,Vague,0,Low-i (API/SaaS),0,0,2021-04-05,0,0.0,22,2021,4200000,,10000000
C005,CloudML Pro,Series B,1,70,Vague,0,Low-i (API/SaaS),1,10000000,2023-09-20,0,0.0,22,2021,4200000,Greylock Partners,35000000
C006,QuantumChip Dynamics,Series A,0,30,Precise,1,High-i (Hardware),1,15000000,2021-08-12,15000000,16.52356082573315,75,2019,15000000,"Index Ventures, Sequoia",60000000
C006,QuantumChip Dynamics,Series B,1,30,Precise,1,High-i (Hardware),1,30000000,2024-02-28,15000000,16.52356082573315,75,2019,15000000,"Index Ventures, Tiger Global",110000000
C007,FlexiLearn AI,Series A,0,80,Vague,0,Low-i (API/SaaS),1,6000000,2021-05-18,6000000,15.607270193858982,30,2020,6000000,"First Round Capital, SV Angel",25000000
C007,FlexiLearn AI,Series B,1,80,Vague,0,Low-i (API/SaaS),1,15000000,2023-10-05,6000000,15.607270193858982,30,2020,6000000,"First Round Capital, Accel",55000000
C009,AutoAPI Services,Series A,0,70,Vague,0,Low-i (API/SaaS),1,2800000,2021-03-25,2800000,14.845130332288226,15,2021,2800000,"Y Combinator, 500 Startups",12000000
C009,AutoAPI Services,Series B,1,70,Vague,0,Low-i (API/SaaS),0,0,,2800000,14.845130332288226,15,2021,2800000,None,12000000
C010,HardwareML Systems,Series A,0,30,Precise,1,High-i (Hardware),1,9500000,2021-10-10,9500000,16.066802461833923,50,2020,9500000,"GV, NEA",40000000
C010,HardwareML Systems,Series B,1,30,Precise,1,High-i (Hardware),1,22000000,2024-03-10,9500000,16.066802461833923,50,2020,9500000,"GV, Lightspeed",85000000
C011,AdaptiveCloud ML,Series A,0,80,Vague,0,Low-i (API/SaaS),0,0,2021-06-22,0,0.0,20,2021,3900000,,8000000
C011,AdaptiveCloud ML,Series B,1,80,Vague,0,Low-i (API/SaaS),0,0,,0,0.0,20,2021,3900000,None,8000000
C012,ChipAI Precision,Series A,0,20,Precise,1,High-i (Hardware),1,11000000,2021-11-05,11000000,16.213405921671733,65,2019,11000000,"Sequoia Capital, Benchmark",48000000
C012,ChipAI Precision,Series B,1,20,Precise,1,High-i (Hardware),1,28000000,2024-01-30,11000000,16.213405921671733,65,2019,11000000,"Sequoia Capital, Tiger Global",105000000
C013,SoftML Innovations,Series A,0,70,Vague,0,Low-i (API/SaaS),1,4500000,2021-04-15,4500000,15.319588176962746,24,2020,4500000,"Andreessen Horowitz, SV Angel",18000000
C013,SoftML Innovations,Series B,1,70,Vague,0,Low-i (API/SaaS),1,11000000,2023-08-28,4500000,15.319588176962746,24,2020,4500000,"Andreessen Horowitz, Accel",42000000
C015,CloudPredict AI,Series A,0,70,Vague,0,Low-i (API/SaaS),1,3200000,2021-05-05,3200000,14.978661680269907,17,2021,3200000,"Y Combinator, First Round",14000000
C015,CloudPredict AI,Series B,1,70,Vague,0,Low-i (API/SaaS),0,0,,3200000,14.978661680269907,17,2021,3200000,None,14000000
C016,Blockchain Finance,Series A,0,50,Precise,0,Low-i (API/SaaS),1,6000000,2022-06-15,6000000,15.607270193858982,35,2020,6000000,Blockchain Capital,22000000
C016,Blockchain Finance,Series B,1,50,Precise,0,Low-i (API/SaaS),0,0,,6000000,15.607270193858982,35,2020,6000000,None,22000000
C019,TensorFlow Services,Series A,0,80,Vague,0,Low-i (API/SaaS),1,5500000,2021-07-08,5500000,15.520258832020865,26,2021,5500000,"Sequoia Capital, GV",23000000
C019,TensorFlow Services,Series B,1,80,Vague,0,Low-i (API/SaaS),1,14000000,2023-12-15,5500000,15.520258832020865,26,2021,5500000,"Sequoia Capital, Accel",52000000
C020,PrecisionVision AI,Series A,0,20,Precise,1,High-i (Hardware),1,10500000,2021-10-20,10500000,16.166885910365842,58,2020,10500000,"NEA, Benchmark",45000000
C020,PrecisionVision AI,Series B,1,20,Precise,1,High-i (Hardware),1,26000000,2024-02-10,10500000,16.166885910365842,58,2020,10500000,"NEA, Tiger Global",95000000
C021,AdaptNet Systems,Series A,0,80,Vague,0,Low-i (API/SaaS),0,0,2021-06-30,0,0.0,19,2021,3700000,,7000000
C021,AdaptNet Systems,Series B,1,80,Vague,0,Low-i (API/SaaS),0,0,,0,0.0,19,2021,3700000,None,7000000
C022,ChipNeural Pro,Series A,0,30,Precise,1,High-i (Hardware),1,12500000,2021-11-18,12500000,16.341239282272525,68,2019,12500000,"Index Ventures, Kleiner Perkins",52000000
C022,ChipNeural Pro,Series B,1,30,Precise,1,High-i (Hardware),1,32000000,2024-03-25,12500000,16.341239282272525,68,2019,12500000,"Index Ventures, Sequoia",115000000
C023,FlexAPI Builder,Series A,0,70,Vague,0,Low-i (API/SaaS),1,2900000,2021-04-28,2900000,14.88022163978423,16,2021,2900000,"500 Startups, Y Combinator",13000000
C023,FlexAPI Builder,Series B,1,70,Vague,0,Low-i (API/SaaS),0,0,2023-08-05,2900000,14.88022163978423,16,2021,2900000,,13000000
C025,CloudScale ML,Series A,0,80,Vague,0,Low-i (API/SaaS),1,4100000,2021-05-20,4100000,15.226497775576945,21,2020,4100000,"Greylock Partners, First Round",17000000
C025,CloudScale ML,Series B,1,80,Vague,0,Low-i (API/SaaS),1,10500000,2023-09-28,4100000,15.226497775576945,21,2020,4100000,"Greylock Partners, Accel",38000000
C027,AdaptLearn Cloud,Series A,0,70,Vague,0,Low-i (API/SaaS),1,3600000,2021-06-15,3600000,15.096444681204078,18,2021,3600000,"Y Combinator, SV Angel",15000000
C027,AdaptLearn Cloud,Series B,1,70,Vague,0,Low-i (API/SaaS),0,0,2023-11-02,3600000,15.096444681204078,18,2021,3600000,,15000000
C030,EdgeAI Systems,Series A,0,30,Precise,1,High-i (Hardware),1,9800000,2021-10-25,9800000,16.097893045681612,52,2020,9800000,"GV, NEA",41000000
C030,EdgeAI Systems,Series B,1,30,Precise,1,High-i (Hardware),1,24000000,2024-01-20,9800000,16.097893045681612,52,2020,9800000,"GV, Lightspeed",88000000
