Variable,Coefficient,Std Error,t-value,p-value
Intercept,0.07760844113510457,0.8919899704219459,0.08700595713917361,0.9311771828374358
vagueness_scaled,-0.09385973199722514,1.1267256904786422,-0.08330309035320989,0.934099075631249
series_b_dummy,-2.5813953488372094,1.1570427246417485,-2.2310285470542834,0.0323815575614386
high_integration_cost,-0.3457893079456445,1.0524753056663403,-0.3285486187504602,0.7445119322056728
vagueness_scaled:series_b_dummy,3.0232558139534866,1.5632042666511465,1.934012002430245,0.06147043183476393
vagueness_scaled:high_integration_cost,-0.6868772608866185,2.743572900847366,-0.25035866941041485,0.8038166785773331
series_b_dummy:high_integration_cost,1.5813953488372026,1.4813371007944653,1.0675459002471985,0.29324705071587315
vagueness_scaled:series_b_dummy:high_integration_cost,0.31007751937986283,3.8016040558472626,0.08156491702573058,0.9354709721759739
log_series_a_amount,0.03888899244083438,0.010386619431483928,3.744143385378503,0.0006697449881594067
employees,0.014259578541441427,0.0074338067360726215,1.9182067879497968,0.0635143855565974
