firm_id,sector,vagueness,early_funding,later_success,team_size,prior_exit
AV001,AV,0.4264630716607073,4.353759912116463,0,33,1
AV002,AV,0.2929200802203472,3.049181589430609,0,35,1
AV003,AV,0.2380025520288896,4.5789067062566655,0,58,1
AV004,AV,0.4081846924661515,4.391582285283832,0,74,1
AV005,AV,0.4171843871795094,1.2451636657191134,0,12,0
AV006,AV,0.1475875366307797,2.6181425461087864,1,10,1
AV007,AV,0.6492086373195687,2.928815330197976,0,23,1
AV008,AV,0.5456070900212484,2.737983557872734,1,37,1
AV009,AV,0.158507433170144,2.22498436367152,0,17,0
AV010,AV,0.3551205774936423,2.7287341309890185,0,43,0
