Start	Message	Estimated p1	Estimated p2	PAYOFF	Simulations
0	BEST	     2.74642	     2.29622	           -0.101019	179
1	OK	     2.74828	     2.29541	           -0.538549	474
2	OK	   0.0391096	     3.15616	             -291353	584
3	OK	     1.40287	     2.75514	             -113831	683
4	OK	     2.74516	     2.29675	           -0.733618	993
6	BEST	     2.74803	     2.29562	           -0.058993	1231
7	OK	     3.71504	     1.88103	             -121189	1320
10	OK	     2.74515	     2.29668	           -0.487887	1597
11	OK	   0.0460437	     3.15477	             -290752	1704
12	OK	     2.74639	     2.29628	           -0.296038	2001
13	OK	    0.223841	     3.10476	             -269216	2100
14	OK	     0.72243	     2.96073	             -204845	2190
15	OK	     1.26366	     2.79868	             -132367	2291
16	OK	     3.07103	     2.16859	              -11319	2371
17	OK	     1.20932	     2.81518	             -139549	2462
18	OK	    0.313955	     3.07912	             -257966	2560
19	OK	    0.564089	     3.00728	             -225893	2672
21	OK	    0.301353	     3.08249	             -259449	2781
22	OK	     3.12452	     2.14586	            -15769.6	2990
23	OK	     2.74754	     2.29583	          -0.0873932	3292
24	OK	   0.0305914	     3.15907	             -292579	3397
25	OK	   0.0261961	     3.16013	             -293022	3499
26	OK	     3.19972	     2.11512	            -22992.6	3620
27	OK	    0.583269	     3.00156	             -223312	3718
28	OK	     2.59534	     2.35315	            -2188.67	3860
30	OK	     2.74932	     2.29515	           -0.399491	4056
31	OK	     2.74689	     2.29594	           -0.436445	4307
32	OK	     3.06198	     2.17148	            -10801.7	4390
33	OK	     1.19159	     2.82077	             -141997	4471
34	OK	    0.191421	     3.11406	             -273271	4575
35	OK	     3.51329	     1.97603	            -72466.8	4645
36	OK	    0.984673	     2.88323	             -169780	4737
37	OK	     2.75797	     2.29199	            -11.6979	4922
38	OK	     0.71852	     2.96226	             -205531	5019
39	OK	     1.35345	     2.77071	             -120382	5112
40	OK	      1.2122	     2.81413	             -139095	5200
41	OK	     2.74918	     2.29511	           -0.504388	5508
42	BEST	     2.74725	     2.29592	          -0.0255127	5793
43	OK	     2.74756	     2.29572	           -0.193321	6077
47	OK	    0.277829	      3.0894	             -262492	6177
48	OK	     1.19054	     2.82118	             -142178	6259
49	OK	     3.91886	     1.77758	             -186257	6360
50	OK	      2.0127	     2.55808	            -41828.3	6452
51	OK	   0.0387805	      3.1569	             -291663	6544
52	OK	           0	      3.1771	             -308396	6637
53	OK	   0.0758505	     3.14645	             -287210	6736
54	OK	     1.32277	     2.78002	             -124351	6831
56	OK	           0	     3.17807	             -310562	6915
57	OK	     2.74836	      2.2954	           -0.402001	7120
59	OK	     1.41753	      2.7506	             -111934	7193
60	OK	           0	     3.17043	             -298132	7273
62	OK	     2.40594	     2.42188	            -10304.7	7354
63	OK	     2.88393	     2.24294	            -1926.63	7634
64	OK	     0.43033	     3.04557	             -243073	7738
65	BEST	     2.74751	      2.2958	         -0.00168669	7975
66	OK	     1.09729	     2.84909	             -154514	8075
67	OK	    0.871111	     2.91728	             -185147	8169
68	OK	      2.7489	     2.29519	           -0.573877	8484
69	OK	     1.77441	       2.637	            -67715.4	8567
70	OK	     2.74682	      2.2961	           -0.105746	8857
71	OK	     2.74721	     2.29601	           -0.428862	9142
72	OK	           0	     3.17677	             -307688	9227
73	OK	     2.74654	     2.29604	           -0.817363	9405
74	OK	     2.74639	     2.29629	           -0.302924	9690
75	OK	    0.372353	     3.06225	             -250498	9778
77	OK	    0.413376	     3.05027	             -245180	9871
78	OK	     2.74978	     2.29493	           -0.571584	10158
79	OK	           0	     3.16977	             -297552	10235
80	OK	   0.0389286	     3.15679	             -291610	10348
81	OK	   0.0497535	     3.15367	             -290283	10429
82	OK	     2.14548	     2.51337	            -29455.1	10544
84	OK	     2.74898	     2.29518	           -0.448559	10842
85	OK	      3.1589	     2.13232	            -18788.7	10909
86	OK	    0.384136	     3.05878	             -248960	10998
87	OK	    0.782926	     2.94362	             -197090	11094
88	OK	     2.74724	     2.29593	          -0.0474105	11377
89	OK	    0.933448	      2.8989	             -176843	11477
90	OK	    0.150493	     3.12551	             -278223	11562
91	OK	     1.09859	      2.8491	             -154514	11664
93	OK	     1.24176	     2.80522	             -135206	11751
94	OK	     2.74713	     2.29605	           -0.561873	11968
95	OK	     3.02468	     2.18671	            -8296.48	12044
96	OK	     1.04474	     2.86504	             -161625	12149
98	OK	   0.0479825	     3.15437	             -290587	12240
99	OK	    0.103083	     3.13882	             -283946	12348
100	OK	           0	     3.17712	             -308424	12432
101	OK	     2.75327	     2.29411	            -14.2527	12514
102	OK	    0.741442	      2.9551	             -202293	12612
103	OK	    0.173889	     3.11892	             -275375	12720
104	OK	     1.18027	     2.82421	             -143506	12816
105	OK	     2.74839	     2.29538	           -0.451067	13097
108	OK	     1.80866	     2.62576	              -63748	13181
109	OK	           0	     3.17645	             -307032	13252
110	OK	     2.74877	     2.29525	           -0.469345	13568
111	OK	     2.80607	     2.27333	            -346.065	13695
112	OK	     0.15091	     3.12498	             -277994	13796
113	OK	     2.74833	      2.2954	           -0.506849	14102
114	OK	     1.05683	     2.86151	             -160044	14203
116	OK	     1.97263	     2.57144	            -45870.2	14293
117	OK	     3.30283	     2.07019	            -35990.4	14392
118	OK	      1.2494	     2.80309	             -134280	14486
119	OK	     2.88569	     2.24198	            -2004.01	14570
120	OK	    0.907471	     2.90626	             -180162	14671
121	OK	    0.732557	     2.95769	             -203468	14767
122	OK	    0.560717	     3.00848	             -226439	14873
124	OK	    0.266969	     3.09219	             -263716	14977
125	OK	     3.46041	     2.00066	            -61740.7	15041
126	OK	     2.74778	     2.29569	          -0.0165206	15261
127	OK	    0.638835	     2.98556	             -216084	15350
129	OK	   0.0302081	     3.15922	             -292642	15436
130	OK	     2.74724	     2.29598	           -0.276812	15711
131	OK	   0.0512721	     3.15347	             -290207	15822
132	OK	     2.74724	     2.29593	          -0.0547667	16086
133	OK	   0.0348315	     3.15755	             -291931	16195
134	OK	     2.75362	     2.29303	            -14.7035	16482
135	OK	     2.74545	      2.2966	           -0.392626	16815
136	OK	     2.74823	     2.29543	           -0.491641	17121
137	OK	           0	     3.17694	             -308042	17203
138	OK	     2.74546	      2.2966	           -0.393166	17513
139	OK	    0.984382	     2.88346	             -169883	17615
140	OK	      2.8231	     2.26686	            -574.862	17719
141	OK	    0.696091	     2.96883	             -208507	17821
142	OK	     1.09962	      2.8485	             -154246	17925
143	OK	    0.316242	     3.07865	             -257768	18014
144	OK	     2.74721	     2.29589	          -0.0303285	18194
145	OK	      2.7478	      2.2955	            -1.80313	18471
146	OK	     2.74964	     2.29497	           -0.531275	18675
147	OK	     1.20649	     2.81613	             -139962	18765
148	OK	     2.74646	     2.29624	           -0.167202	18959
149	OK	    0.692611	     2.96972	             -208911	19059
150	OK	     2.74506	     2.29664	           -0.813461	19372
151	OK	    0.260492	     3.09445	             -264710	19468
153	OK	   0.0214979	     3.16114	             -293460	19569
154	OK	     3.66556	     1.90405	             -108354	19656
155	OK	    0.827621	     2.92975	             -190802	19746
156	OK	     1.47197	     2.73379	             -104982	19840
157	OK	   0.0290636	     3.15963	             -292819	19934
159	OK	     2.74713	     2.29598	          -0.0687985	20221
160	OK	    0.023784	     3.16058	             -293220	20309
161	OK	     1.34067	     2.77484	             -122135	20402
162	OK	     2.74704	     2.29601	          -0.0683107	20680
164	OK	      2.7475	     2.29597	            -1.26115	20956
165	OK	    0.231738	     3.10234	             -268157	21047
166	OK	    0.434745	     3.04412	             -242434	21137
168	OK	   0.0471144	     3.15414	             -290485	21225
169	OK	     2.60424	     2.34968	            -1932.04	21315
170	OK	     2.74726	     2.29591	          -0.0222582	21602
171	OK	     2.84221	      2.2595	            -906.181	21742
172	OK	   0.0150441	     3.16329	             -294362	21842
173	OK	     2.74746	     2.29592	           -0.455569	22134
174	OK	     2.74565	     2.29651	           -0.298203	22346
175	OK	     3.13106	     2.14345	            -16284.4	22432
176	OK	     2.74766	     2.29575	         -0.00844897	22669
178	OK	     2.74571	     2.29648	           -0.272547	22923
180	OK	     2.74581	     2.29641	           -0.296154	23123
181	OK	     2.74875	     2.29526	           -0.458909	23437
182	OK	     2.74619	     2.29628	           -0.154989	23748
183	OK	   0.0424806	     3.15572	             -291156	23852
185	OK	      0.2261	     3.10414	             -268947	23933
187	OK	     2.74716	     2.29591	          -0.0274537	24119
188	OK	     3.25162	     2.09298	            -29033.9	24240
189	OK	     2.59003	     2.35483	            -2315.54	24319
190	OK	    0.988784	     2.88202	             -169237	24417
191	OK	     2.74739	     2.29592	           -0.276064	24720
192	OK	    0.158101	     3.12296	             -277118	24815
194	OK	     2.74576	     2.29638	           -0.558775	25126
197	OK	      2.7476	     2.29597	             -2.0405	25422
198	OK	     0.17439	     3.11842	             -275154	25521
199	OK	      2.7459	     2.29645	           -0.300786	25814
201	OK	     2.74548	     2.29659	           -0.393602	26140
202	OK	     1.19019	     2.82093	             -142068	26251
203	OK	     1.20626	     2.81604	             -139928	26358
206	OK	     2.74739	     2.29592	           -0.286034	26660
207	OK	     1.33018	      2.7781	             -123523	26760
208	OK	     2.02593	      2.5539	            -40597.9	26853
209	OK	     1.98896	     2.56622	            -44271.9	26944
211	OK	     3.34399	      2.0522	            -42004.2	27024
213	OK	   0.0192844	     3.16171	             -293705	27123
214	OK	     2.74824	     2.29543	           -0.515358	27405
215	OK	    0.106996	     3.13766	             -283447	27510
216	OK	  0.00938122	     3.16517	             -295162	27601
217	OK	    0.045688	     3.15441	             -290604	27707
218	OK	     2.74891	     2.29523	           -0.309009	27898
219	OK	     3.56282	     1.95331	            -83067.9	27978
