Start	Message	Estimated p1	Estimated p2	PAYOFF	
0	BEST	           1	           1	        -6.71949e+06	
1	OK	      6.3519	     67.1939	       -2.11162e+251	
2	OK	     9.99428	     34.1071	       -4.41384e+130	
3	OK	     5.53211	     25.7261	         -2.5048e+95	
4	OK	     8.76598	     44.1795	       -1.90067e+167	
6	OK	     5.36282	     20.5063	        -5.17815e+75	
7	OK	     3.08193	     78.6295	       -1.94008e+291	
10	OK	     6.17486	     16.7901	        -3.23501e+62	
11	OK	     5.43454	     40.1697	       -2.37854e+149	
12	OK	     7.64329	     65.7408	       -1.01711e+247	
13	OK	     9.87059	     53.3092	       -2.57359e+202	
14	OK	   0.0154048	     73.8763	        -6.8095e+270	
15	OK	     9.10145	     16.2722	        -1.29858e+63	
16	OK	     2.42517	     10.4838	        -4.47464e+35	
17	OK	     2.45019	     28.0745	        -3.2513e+101	
18	OK	     2.64949	     62.2786	       -5.13996e+229	
19	OK	     9.62698	     55.1873	       -1.69297e+209	
21	OK	     6.78997	     74.3633	        -3.4699e+278	
22	OK	     5.49658	     61.2034	       -1.44406e+228	
23	OK	     7.89454	     31.7236	       -7.93449e+119	
24	OK	     5.37472	     62.7604	       -7.61249e+233	
25	OK	     8.41668	     22.7359	        -5.15197e+86	
26	OK	     3.73832	     28.3043	       -3.09678e+103	
27	OK	     8.44996	     7.81257	         -7.9073e+30	
28	OK	     4.43558	     38.3288	         -4.151e+141	
30	OK	     3.15284	     7.62943	        -4.10759e+25	
31	OK	     5.50554	     35.7996	       -1.20507e+133	
32	OK	     2.38247	     32.3037	       -1.91933e+117	
33	OK	     1.06712	     24.7233	        -5.85131e+87	
34	OK	     8.39147	       29.27	       -1.40416e+111	
35	OK	     3.80372	     1.97603	             -845952	
36	OK	    0.462739	      61.495	       -7.56317e+224	
37	OK	     2.68732	     4.55223	         -7.1687e+13	
38	OK	      3.5871	     37.7348	       -4.55067e+138	
39	OK	    0.663742	      58.777	       -7.57811e+214	
40	OK	     0.53222	     34.8743	       -1.98507e+125	
41	OK	     7.99909	     66.3253	       -3.19477e+249	
42	OK	     7.16602	     61.5748	       -9.98909e+230	
43	OK	     8.87726	     53.2208	       -1.64846e+201	
47	OK	     3.62734	     53.2477	       -5.72506e+196	
48	OK	    0.539697	     28.0985	        -8.75852e+99	
49	OK	     2.76753	     1.72358	        -3.64313e+06	
50	OK	     2.38316	     76.8017	       -6.90916e+283	
51	OK	     1.68104	     64.9657	       -8.46655e+238	
52	OK	     7.51079	     65.4772	       -8.04659e+245	
53	OK	     6.22898	     18.7247	        -6.27867e+69	
54	OK	     5.81324	     10.7232	        -3.08526e+39	
56	OK	     4.13538	     51.5914	        -9.9903e+190	
57	OK	     4.49242	      9.3449	        -1.53558e+33	
59	OK	    0.701085	     54.1605	       -4.29264e+197	
60	OK	     3.79491	     53.8106	       -1.02393e+199	
62	OK	     2.79015	     15.5187	        -6.46973e+54	
63	OK	     9.10143	      41.985	       -2.27037e+159	
64	OK	     5.11724	     48.5364	       -2.61423e+180	
65	OK	     4.71284	     77.8511	       -6.17887e+289	
66	OK	     4.36301	     80.2337	       -2.54231e+298	
67	OK	     2.50369	     43.3227	       -4.28914e+158	
68	OK	     9.96292	     50.4791	       -7.90475e+191	
69	OK	     1.53673	     16.6869	        -1.24417e+58	
70	OK	     7.29827	     44.7864	       -1.88552e+168	
71	OK	      7.5077	     78.1838	       -2.90877e+293	
72	OK	     5.41103	     39.6188	       -1.96881e+147	
73	OK	     3.65274	     19.4751	        -2.33962e+70	
74	OK	     7.43204	     28.3082	       -5.17353e+106	
75	OK	    0.646824	     70.4258	         -2.928e+258	
77	OK	     2.26334	     46.2872	       -3.31029e+169	
78	OK	     8.37529	      34.955	       -2.58318e+132	
79	OK	     2.75868	     29.8595	       -2.89141e+108	
80	OK	     9.29444	     58.4192	       -1.08866e+221	
81	OK	    0.137961	     32.0619	       -2.68178e+114	
82	OK	     4.28746	     33.8627	       -5.92806e+124	
84	OK	     9.51458	     27.9574	       -1.62127e+107	
85	OK	     3.19157	     3.13064	        -2.75209e+09	
86	OK	      2.4226	      20.642	        -4.65856e+73	
87	OK	     6.70555	     10.7962	        -3.44812e+40	
88	OK	     9.81512	     39.7665	       -4.70169e+151	
89	OK	      4.6687	     68.9012	       -1.79217e+256	
90	OK	    0.542124	     23.9083	        -1.82215e+84	
91	OK	     3.99857	     71.1336	       -1.06373e+264	
93	OK	     1.17934	     26.9602	         -1.7275e+96	
94	OK	     4.31447	     62.2423	       -1.05031e+231	
95	OK	     2.56448	     10.5563	        -1.10389e+36	
96	OK	     4.53623	     65.9583	       -1.32683e+245	
98	OK	     4.73953	     4.75846	        -2.40171e+16	
99	OK	     6.69225	     62.5174	       -1.30687e+234	
100	OK	     5.81179	     45.2459	       -5.06127e+168	
101	OK	     2.48453	     50.0666	        -7.2118e+183	
102	OK	     6.39251	      26.126	        -4.39489e+97	
103	OK	     7.92016	     57.9018	       -8.06702e+217	
104	OK	     3.69696	      45.383	       -2.40121e+167	
105	OK	     6.32914	     40.7128	       -1.53594e+152	
108	OK	     1.97113	     27.3168	        -1.81933e+98	
109	OK	    0.347336	     60.5917	       -2.49671e+221	
110	OK	     8.24195	     71.8521	       -2.52387e+270	
111	OK	     4.28078	      5.4581	        -3.42214e+18	
112	OK	     8.20378	     16.9249	        -5.97706e+64	
113	OK	      7.3635	     77.1506	       -2.96052e+289	
114	OK	     7.06355	     22.3813	        -1.61983e+84	
116	OK	     2.14419	     51.1759	       -5.18366e+187	
