YEAR,KWH,PELEC,GNP,NSF
1951,330,3.12,579.4,0
1952,356,3.09,600.8,0
1953,396,3.01,623.6,0
1954,424,2.97,616.1,0
1955,497,2.75,657.5,0
1956,546,2.61,671.6,0
1957,576,2.57,683.8,0
1958,588,2.59,680.9,0
1959,647,2.5,721.7,0
1960,689,2.65,737.2,0
1961,723,2.63,756.6,0
1962,778,2.55,800.3,0
1963,833,2.47,832.5,0
1964,896,2.38,876.4,0
1965,954,2.29,929.3,0
1966,1035,2.16,984.8,0
1967,1099,2.09,1011.4,0
1968,1203,1.97,1058.1,0
1969,1314,1.88,1087.6,0
1970,1392,1.83,1085.6,0
1971,1470,1.84,1122.4,0
1972,1595,1.86,1185.9,0
1973,1712.91,1.85,1254.3,7.5
1974,1705.92,2.16,1246.3,6.7
1975,1747.09,2.32,1231.6,6.3
1976,1855.25,2.33,1298.2,5.8
1977,1948.36,2.44,1369.7,5.3
1978,2017.92,2.45,1438.6,4.8
1979,2071.1,2.44,1479.4,4.1
1980,2094.45,2.65,1474,3.7
1981,2147.1,2.79,1502.6,3.3
1982,2086.44,2.96,1479.98,3.2
1983,2150.96,2.92,1534.68,2.8
1984,2278.37,2.92,1639.32,2.4
