L,S,T,cap_tightness,buildtime1,solvetime1,objective1,buildtime2,solvetime2,objective2
400,30,10,0.5,0.622735208,0.63373,380.7791107402695,0.248403208,0.348272917,380.7791107402695
900,30,10,0.5,0.605023542,1.3727325,444.41428863999624,15.162012833,1.161051375,444.4142886399961
400,100,10,0.5,1.694532958,1.706696875,2069.948617053173,3.749434625,4.954593708,2069.9486170531723
900,100,10,0.5,2.673146208,4.117509,2191.321723792803,7.387979666,14.083892583,2191.321723792801
400,30,100,0.5,2.326666667,4.235267083,425.54832084187416,0.202226,0.323792625,425.54832084187353
900,30,100,0.5,7.6517675,10.244718375,400.4924289608814,0.975881417,0.734113916,400.49242896087964
400,100,100,0.5,8.634390542,16.048306875,1880.2380141501574,3.012175334,4.992986459,1880.2380141501696
900,100,100,0.5,21.069382416,46.233104042,2011.513333425031,8.844113166,18.755812083,2011.513333425038
400,30,10,1.0,0.206890416,0.323128541,658.9383347821947,0.191607,0.251046958,658.9383347821945
900,30,10,1.0,0.489116958,1.11114975,424.76376850198113,0.414717542,0.907293875,424.7637685019811
400,100,10,1.0,0.68987475,1.317242667,2255.1513611922273,2.510307,3.619981584,2255.151361192226
900,100,10,1.0,6.466097541,3.132073917,2277.461966619515,8.446456791,8.943094583,2277.4619666195163
400,30,100,1.0,2.569278541,5.685568416,381.1404328752921,0.145419458,0.302202666,381.1404328752935
900,30,100,1.0,5.840216083,11.289037416,425.244495854591,0.947045541,0.800475208,425.2444958545919
400,100,100,1.0,8.613832208,15.082101667,2196.804506592593,3.603189375,5.476787417,2196.804506592574
900,100,100,1.0,23.25281825,39.643941,2019.3477951208647,5.542973125,17.41709175,2019.3477951208586
